number,value,datetime_start,datetime_complete,duration,params_alpha,params_fit_intercept,params_max_iter,params_selection,params_tol,state
86,0.7274852816816136,2025-06-21 22:32:33.047459,2025-06-21 22:32:33.097456,0 days 00:00:00.049997,0.00010009887986461411,False,5000,cyclic,0.002622586013975701,COMPLETE
87,0.6400060295678025,2025-06-21 22:32:33.097456,2025-06-21 22:32:33.148966,0 days 00:00:00.051510,0.0001300186523878691,True,4000,cyclic,0.0014151987303733004,COMPLETE
88,0.6420761508804297,2025-06-21 22:32:33.149967,2025-06-21 22:32:33.202967,0 days 00:00:00.053000,0.00033973839826441365,True,5000,cyclic,0.0076572581618296305,COMPLETE
89,0.6405078029567431,2025-06-21 22:32:33.203967,2025-06-21 22:32:33.255483,0 days 00:00:00.051516,0.00018155473767952118,True,5000,cyclic,0.009508779505614568,COMPLETE
90,0.643535099799328,2025-06-21 22:32:33.255483,2025-06-21 22:32:33.311480,0 days 00:00:00.055997,0.0004378005043347072,True,6000,cyclic,0.0018219097753096253,COMPLETE
91,0.6397489832733467,2025-06-21 22:32:33.312480,2025-06-21 22:32:33.370988,0 days 00:00:00.058508,0.00010313002141044332,True,7000,cyclic,0.0010716249671733824,COMPLETE
92,0.6399413457338846,2025-06-21 22:32:33.370988,2025-06-21 22:32:33.421998,0 days 00:00:00.051010,0.00012392380539815327,True,7000,cyclic,0.0011786342390119997,COMPLETE
93,0.6409793059609757,2025-06-21 22:32:33.422997,2025-06-21 22:32:33.471527,0 days 00:00:00.048530,0.00023911026031269732,True,6000,cyclic,0.0006817166867147855,COMPLETE
94,0.6403649664322217,2025-06-21 22:32:33.471527,2025-06-21 22:32:33.529045,0 days 00:00:00.057518,0.00016170478534101814,True,7000,cyclic,0.003778253496240654,COMPLETE
95,0.639753005765468,2025-06-21 22:32:33.529045,2025-06-21 22:32:33.592044,0 days 00:00:00.062999,0.00010132825662873214,True,7000,cyclic,0.0007976783075698016,COMPLETE
96,0.6399128050078651,2025-06-21 22:32:33.592044,2025-06-21 22:32:33.656559,0 days 00:00:00.064515,0.00012317874409594813,True,7000,cyclic,0.0007944325895695845,COMPLETE
97,0.6397386207065561,2025-06-21 22:32:33.657559,2025-06-21 22:32:33.720563,0 days 00:00:00.063004,0.00010083479064494054,True,6000,cyclic,0.0010461514041230006,COMPLETE
98,0.6406202252888654,2025-06-21 22:32:33.720563,2025-06-21 22:32:33.776076,0 days 00:00:00.055513,0.0001882959750513435,True,6000,cyclic,0.0010292867132876333,COMPLETE
99,0.727876305384771,2025-06-21 22:32:33.777076,2025-06-21 22:32:33.826612,0 days 00:00:00.049536,0.00015382655305770358,False,6000,cyclic,0.0005135478426414911,COMPLETE
100,0.6410619360595932,2025-06-21 22:32:33.826612,2025-06-21 22:32:33.884611,0 days 00:00:00.057999,0.0002402524254563901,True,7000,cyclic,0.0023727786852791,COMPLETE
101,0.6398127272241526,2025-06-21 22:32:33.885611,2025-06-21 22:32:33.944132,0 days 00:00:00.058521,0.00011831493658892952,True,7000,cyclic,0.0031025083396123187,COMPLETE
102,0.6397386207065561,2025-06-21 22:32:33.944132,2025-06-21 22:32:33.995128,0 days 00:00:00.050996,0.00010071013866005661,True,7000,cyclic,0.0009867823860497673,COMPLETE
103,0.6402894217768231,2025-06-21 22:32:33.996128,2025-06-21 22:32:34.047637,0 days 00:00:00.051509,0.00014526843103650314,True,7000,cyclic,0.0010633010370643726,COMPLETE
104,0.6404827109637032,2025-06-21 22:32:34.048637,2025-06-21 22:32:34.104640,0 days 00:00:00.056003,0.00017562903081209963,True,6000,cyclic,0.0015221915210090738,COMPLETE
105,0.6400199218442923,2025-06-21 22:32:34.105639,2025-06-21 22:32:34.160153,0 days 00:00:00.054514,0.00013139266917638518,True,8000,cyclic,0.0004120745845538908,COMPLETE
106,0.640777932130925,2025-06-21 22:32:34.161153,2025-06-21 22:32:34.214160,0 days 00:00:00.053007,0.0002107402322062708,True,6000,cyclic,0.0051019444097604155,COMPLETE
107,0.639819773936302,2025-06-21 22:32:34.214160,2025-06-21 22:32:34.267683,0 days 00:00:00.053523,0.00011479312311037013,True,7000,cyclic,0.000573547704532295,COMPLETE
108,0.6403110646100203,2025-06-21 22:32:34.267683,2025-06-21 22:32:34.320688,0 days 00:00:00.053005,0.00014911208562424147,True,5000,cyclic,0.004307563188214271,COMPLETE
109,0.641671615493563,2025-06-21 22:32:34.320688,2025-06-21 22:32:34.375199,0 days 00:00:00.054511,0.0002986505061982452,True,8000,cyclic,0.006846886289974543,COMPLETE
110,0.6397489832733467,2025-06-21 22:32:34.376199,2025-06-21 22:32:34.431717,0 days 00:00:00.055518,0.00010307906837190516,True,7000,cyclic,0.0019339584938337393,COMPLETE
111,0.6398537543179434,2025-06-21 22:32:34.431717,2025-06-21 22:32:34.491716,0 days 00:00:00.059999,0.00012034878094721219,True,7000,cyclic,0.0018528864815200862,COMPLETE
112,0.6397386207065561,2025-06-21 22:32:34.491716,2025-06-21 22:32:34.549732,0 days 00:00:00.058016,0.00010114565646129279,True,7000,cyclic,0.0020669178540689698,COMPLETE
113,0.640458589397514,2025-06-21 22:32:34.550806,2025-06-21 22:32:34.604405,0 days 00:00:00.053599,0.0001730210400016668,True,6000,cyclic,0.0022234456044793603,COMPLETE
114,0.6397659669275881,2025-06-21 22:32:34.605410,2025-06-21 22:32:34.655941,0 days 00:00:00.050531,0.00010397272718320163,True,7000,cyclic,0.0012928599813410268,COMPLETE
115,0.6403465392361839,2025-06-21 22:32:34.655941,2025-06-21 22:32:34.707482,0 days 00:00:00.051541,0.0001504523650507031,True,7000,cyclic,0.0016931929531405197,COMPLETE
116,0.6397386207065561,2025-06-21 22:32:34.707482,2025-06-21 22:32:34.761001,0 days 00:00:00.053519,0.0001009432901592987,True,6000,cyclic,0.0028960206844340984,COMPLETE
117,0.6407571600388734,2025-06-21 22:32:34.762001,2025-06-21 22:32:34.817008,0 days 00:00:00.055007,0.00020577678715004067,True,6000,cyclic,0.0028298802155918247,COMPLETE
118,0.8695818781313391,2025-06-21 22:32:34.817008,2025-06-21 22:32:34.863527,0 days 00:00:00.046519,0.25098231323521647,True,6000,cyclic,0.0024033862286852252,COMPLETE
119,0.7276505801099831,2025-06-21 22:32:34.864527,2025-06-21 22:32:34.916534,0 days 00:00:00.052007,0.0001243545914940302,False,6000,cyclic,0.003755081337183524,COMPLETE
120,0.8310428006067717,2025-06-21 22:32:34.917534,2025-06-21 22:32:34.970044,0 days 00:00:00.052510,0.019605646388018472,True,5000,cyclic,0.0020430637754308843,COMPLETE
